result_contract_version,scenario_id,target_species,target_accession,lifespan_category,pdb_id,pdb_sha256,full_chain_mapping_table,full_chain_mapping_sha256,a1_result_table,a1_result_sha256,interface_distance_cutoff_angstrom,source_interface_count,source_interface_reference_zero_based_indices,alignment_policy_id,alignment_gap_open,alignment_gap_extend,alignment_terminal_penalty,alignment_optimal_index,alignment_optimal_count,alignment_trace_sha256,alignment_trace_length,aligned_residue_count,mapped_interface_count,dropped_interface_count,dropped_reference_zero_based_indices,mapping_status,metric_family,interface_mean_delta,noninterface_mean_delta,enrichment_ratio,effect_size_cohens_d,p_interface_greater,p_interface_less,p_two_sided,shuffle_mask_policy,shuffle_seed,shuffle_control_count,shuffle_ge_observed_count,shuffle_le_observed_count,shuffle_empirical_p_greater,shuffle_empirical_p_less,shuffle_empirical_p_two_sided,direction_vs_one,lower_tail_significant_at_0_05,is_a1_baseline_scenario,a1_baseline_reproduced,mapping_cutoff_alignment_sensitivity_run,gate8_disposition_run,gate9_promoted,biological_claim_made,result_date
1,g3sx30_cutoff_6.0_canonical_free_terminal_trace_0,elephant,G3SX30,long_lived,1YCR,7b4e503dea1fe3a6966b9676a1b98caf511c735cde01029cd0998e2319e75493,data/input/tp53_mdm2_1ycr_q00987_full_chain_mapping.csv,2794c3adabb69ff739e24af6179d587424acab293407d44b536bf0a8111dbb5f,data/input/tp53_mdm2_mdm2_mapped_interface_enrichment_results.csv,bcf4075b428c4bf1494a3247357a8c1736c761f9c1a8bdbf2f0b789b51823ebb,6.0,30,24|25|48|49|50|52|53|54|56|57|58|60|61|66|69|70|71|72|73|74|85|90|92|93|94|95|98|99|102|103,canonical_free_terminal,-10,-1,false,0,9,b78180dca790d1d81fde5f473550a4b1bda0e038c9e15b15ba08b471994b2710,493,490,30,0,none,complete_all_source_interface_residues_aligned,human_reference_to_ortholog_per_residue_esmc_l2_mapped_interface_vs_noninterface_enrichment,0.16354741677641868,0.25221626823768017,0.64844118866391709,-0.47769213442143316,0.99955788350441055,0.00044423146796444802,0.00088846293592889604,uniform_without_replacement_same_mapped_interface_count_among_aligned_residue_pairs,42,1000,1000,0,1,0.000999000999000999,0.001998001998001998,below_one,true,false,false,true,false,false,false,2026-07-20
1,g3sx30_cutoff_6.0_canonical_free_terminal_trace_1,elephant,G3SX30,long_lived,1YCR,7b4e503dea1fe3a6966b9676a1b98caf511c735cde01029cd0998e2319e75493,data/input/tp53_mdm2_1ycr_q00987_full_chain_mapping.csv,2794c3adabb69ff739e24af6179d587424acab293407d44b536bf0a8111dbb5f,data/input/tp53_mdm2_mdm2_mapped_interface_enrichment_results.csv,bcf4075b428c4bf1494a3247357a8c1736c761f9c1a8bdbf2f0b789b51823ebb,6.0,30,24|25|48|49|50|52|53|54|56|57|58|60|61|66|69|70|71|72|73|74|85|90|92|93|94|95|98|99|102|103,canonical_free_terminal,-10,-1,false,1,9,8708564f4be79dee8199ec31cfcdf54563b7dbca087889b44b5aa5d322486236,493,490,30,0,none,complete_all_source_interface_residues_aligned,human_reference_to_ortholog_per_residue_esmc_l2_mapped_interface_vs_noninterface_enrichment,0.16354741677641868,0.25230076183848404,0.64822403065559198,-0.47779034535906079,0.99955788350441055,0.00044423146796444802,0.00088846293592889604,uniform_without_replacement_same_mapped_interface_count_among_aligned_residue_pairs,42,1000,1000,0,1,0.000999000999000999,0.001998001998001998,below_one,true,false,false,true,false,false,false,2026-07-20
1,g3sx30_cutoff_6.0_canonical_free_terminal_trace_2,elephant,G3SX30,long_lived,1YCR,7b4e503dea1fe3a6966b9676a1b98caf511c735cde01029cd0998e2319e75493,data/input/tp53_mdm2_1ycr_q00987_full_chain_mapping.csv,2794c3adabb69ff739e24af6179d587424acab293407d44b536bf0a8111dbb5f,data/input/tp53_mdm2_mdm2_mapped_interface_enrichment_results.csv,bcf4075b428c4bf1494a3247357a8c1736c761f9c1a8bdbf2f0b789b51823ebb,6.0,30,24|25|48|49|50|52|53|54|56|57|58|60|61|66|69|70|71|72|73|74|85|90|92|93|94|95|98|99|102|103,canonical_free_terminal,-10,-1,false,2,9,b1f7b204e1b7ef551513403abb33994b844fa6f413c588066efc39460b5f8e85,493,490,30,0,none,complete_all_source_interface_residues_aligned,human_reference_to_ortholog_per_residue_esmc_l2_mapped_interface_vs_noninterface_enrichment,0.16354741677641868,0.25322339360237772,0.64586219483823792,-0.47907660162130572,0.99956417254471319,0.00043791452669877002,0.00087582905339754003,uniform_without_replacement_same_mapped_interface_count_among_aligned_residue_pairs,42,1000,1000,0,1,0.000999000999000999,0.001998001998001998,below_one,true,false,false,true,false,false,false,2026-07-20
1,g3sx30_cutoff_6.0_canonical_free_terminal_trace_3,elephant,G3SX30,long_lived,1YCR,7b4e503dea1fe3a6966b9676a1b98caf511c735cde01029cd0998e2319e75493,data/input/tp53_mdm2_1ycr_q00987_full_chain_mapping.csv,2794c3adabb69ff739e24af6179d587424acab293407d44b536bf0a8111dbb5f,data/input/tp53_mdm2_mdm2_mapped_interface_enrichment_results.csv,bcf4075b428c4bf1494a3247357a8c1736c761f9c1a8bdbf2f0b789b51823ebb,6.0,30,24|25|48|49|50|52|53|54|56|57|58|60|61|66|69|70|71|72|73|74|85|90|92|93|94|95|98|99|102|103,canonical_free_terminal,-10,-1,false,3,9,b545ff9b266d75097163e588d6587a57a4471db0001802a3ad5c8b37ab4e1594,493,490,30,0,none,complete_all_source_interface_residues_aligned,human_reference_to_ortholog_per_residue_esmc_l2_mapped_interface_vs_noninterface_enrichment,0.16354741677641868,0.25256586334384656,0.64754363321761743,-0.47844312792028293,0.99956208547330128,0.00044001086100572213,0.00088002172201144427,uniform_without_replacement_same_mapped_interface_count_among_aligned_residue_pairs,42,1000,1000,0,1,0.000999000999000999,0.001998001998001998,below_one,true,false,false,true,false,false,false,2026-07-20
1,g3sx30_cutoff_6.0_canonical_free_terminal_trace_4,elephant,G3SX30,long_lived,1YCR,7b4e503dea1fe3a6966b9676a1b98caf511c735cde01029cd0998e2319e75493,data/input/tp53_mdm2_1ycr_q00987_full_chain_mapping.csv,2794c3adabb69ff739e24af6179d587424acab293407d44b536bf0a8111dbb5f,data/input/tp53_mdm2_mdm2_mapped_interface_enrichment_results.csv,bcf4075b428c4bf1494a3247357a8c1736c761f9c1a8bdbf2f0b789b51823ebb,6.0,30,24|25|48|49|50|52|53|54|56|57|58|60|61|66|69|70|71|72|73|74|85|90|92|93|94|95|98|99|102|103,canonical_free_terminal,-10,-1,false,4,9,5221eeef207f659402bd45d7c7cc682fe4d0eded47e98baabd769a32b135a264,493,490,30,0,none,complete_all_source_interface_residues_aligned,human_reference_to_ortholog_per_residue_esmc_l2_mapped_interface_vs_noninterface_enrichment,0.16354741677641868,0.25265035694465043,0.6473270758617925,-0.47854177226863776,0.99956208547330128,0.00044001086100572213,0.00088002172201144427,uniform_without_replacement_same_mapped_interface_count_among_aligned_residue_pairs,42,1000,1000,0,1,0.000999000999000999,0.001998001998001998,below_one,true,false,false,true,false,false,false,2026-07-20
1,g3sx30_cutoff_6.0_canonical_free_terminal_trace_5,elephant,G3SX30,long_lived,1YCR,7b4e503dea1fe3a6966b9676a1b98caf511c735cde01029cd0998e2319e75493,data/input/tp53_mdm2_1ycr_q00987_full_chain_mapping.csv,2794c3adabb69ff739e24af6179d587424acab293407d44b536bf0a8111dbb5f,data/input/tp53_mdm2_mdm2_mapped_interface_enrichment_results.csv,bcf4075b428c4bf1494a3247357a8c1736c761f9c1a8bdbf2f0b789b51823ebb,6.0,30,24|25|48|49|50|52|53|54|56|57|58|60|61|66|69|70|71|72|73|74|85|90|92|93|94|95|98|99|102|103,canonical_free_terminal,-10,-1,false,5,9,ae575a55fc10367f3ecad4f64ce1dbc5ddad00fd2e743c6747a4795a034651c6,493,490,30,0,none,complete_all_source_interface_residues_aligned,human_reference_to_ortholog_per_residue_esmc_l2_mapped_interface_vs_noninterface_enrichment,0.16354741677641868,0.25357298870854406,0.64497175984465571,-0.47983197660541993,0.99956831904771692,0.00043374960952068217,0.00086749921904136435,uniform_without_replacement_same_mapped_interface_count_among_aligned_residue_pairs,42,1000,1000,0,1,0.000999000999000999,0.001998001998001998,below_one,true,false,false,true,false,false,false,2026-07-20
1,g3sx30_cutoff_6.0_canonical_free_terminal_trace_6,elephant,G3SX30,long_lived,1YCR,7b4e503dea1fe3a6966b9676a1b98caf511c735cde01029cd0998e2319e75493,data/input/tp53_mdm2_1ycr_q00987_full_chain_mapping.csv,2794c3adabb69ff739e24af6179d587424acab293407d44b536bf0a8111dbb5f,data/input/tp53_mdm2_mdm2_mapped_interface_enrichment_results.csv,bcf4075b428c4bf1494a3247357a8c1736c761f9c1a8bdbf2f0b789b51823ebb,6.0,30,24|25|48|49|50|52|53|54|56|57|58|60|61|66|69|70|71|72|73|74|85|90|92|93|94|95|98|99|102|103,canonical_free_terminal,-10,-1,false,6,9,99058ca7c380df73e56662896f4e1246f78ce2c67bc74d4af0ebb1b4936f8bb2,493,490,30,0,none,complete_all_source_interface_residues_aligned,human_reference_to_ortholog_per_residue_esmc_l2_mapped_interface_vs_noninterface_enrichment,0.16354741677641868,0.25325332550008012,0.64578586067319754,-0.48026248053604587,0.99957037855341169,0.00043168095228302472,0.00086336190456604944,uniform_without_replacement_same_mapped_interface_count_among_aligned_residue_pairs,42,1000,1000,0,1,0.000999000999000999,0.001998001998001998,below_one,true,false,false,true,false,false,false,2026-07-20
1,g3sx30_cutoff_6.0_canonical_free_terminal_trace_7,elephant,G3SX30,long_lived,1YCR,7b4e503dea1fe3a6966b9676a1b98caf511c735cde01029cd0998e2319e75493,data/input/tp53_mdm2_1ycr_q00987_full_chain_mapping.csv,2794c3adabb69ff739e24af6179d587424acab293407d44b536bf0a8111dbb5f,data/input/tp53_mdm2_mdm2_mapped_interface_enrichment_results.csv,bcf4075b428c4bf1494a3247357a8c1736c761f9c1a8bdbf2f0b789b51823ebb,6.0,30,24|25|48|49|50|52|53|54|56|57|58|60|61|66|69|70|71|72|73|74|85|90|92|93|94|95|98|99|102|103,canonical_free_terminal,-10,-1,false,7,9,8f742094ea52f0bdc2d0e91eca2d1abb5de5fbbc13a62bce5b1a53e50761f9e4,493,490,30,0,none,complete_all_source_interface_residues_aligned,human_reference_to_ortholog_per_residue_esmc_l2_mapped_interface_vs_noninterface_enrichment,0.16354741677641868,0.25333781910088399,0.64557047722626426,-0.48036152795810344,0.99957037855341169,0.00043168095228302472,0.00086336190456604944,uniform_without_replacement_same_mapped_interface_count_among_aligned_residue_pairs,42,1000,1000,0,1,0.000999000999000999,0.001998001998001998,below_one,true,false,false,true,false,false,false,2026-07-20
1,g3sx30_cutoff_6.0_canonical_free_terminal_trace_8,elephant,G3SX30,long_lived,1YCR,7b4e503dea1fe3a6966b9676a1b98caf511c735cde01029cd0998e2319e75493,data/input/tp53_mdm2_1ycr_q00987_full_chain_mapping.csv,2794c3adabb69ff739e24af6179d587424acab293407d44b536bf0a8111dbb5f,data/input/tp53_mdm2_mdm2_mapped_interface_enrichment_results.csv,bcf4075b428c4bf1494a3247357a8c1736c761f9c1a8bdbf2f0b789b51823ebb,6.0,30,24|25|48|49|50|52|53|54|56|57|58|60|61|66|69|70|71|72|73|74|85|90|92|93|94|95|98|99|102|103,canonical_free_terminal,-10,-1,false,8,9,cefbcdac43702bad617805188cd8ec9f5de5466103b57ec638bc531292fa2a13,493,490,30,0,none,complete_all_source_interface_residues_aligned,human_reference_to_ortholog_per_residue_esmc_l2_mapped_interface_vs_noninterface_enrichment,0.16354741677641868,0.25426045086477761,0.64322790359322335,-0.48165513511359159,0.999576502529127,0.00042552974254143476,0.00085105948508286953,uniform_without_replacement_same_mapped_interface_count_among_aligned_residue_pairs,42,1000,1000,0,1,0.000999000999000999,0.001998001998001998,below_one,true,false,false,true,false,false,false,2026-07-20
1,g3sx30_cutoff_7.0_canonical_free_terminal_trace_0,elephant,G3SX30,long_lived,1YCR,7b4e503dea1fe3a6966b9676a1b98caf511c735cde01029cd0998e2319e75493,data/input/tp53_mdm2_1ycr_q00987_full_chain_mapping.csv,2794c3adabb69ff739e24af6179d587424acab293407d44b536bf0a8111dbb5f,data/input/tp53_mdm2_mdm2_mapped_interface_enrichment_results.csv,bcf4075b428c4bf1494a3247357a8c1736c761f9c1a8bdbf2f0b789b51823ebb,7.0,42,24|25|26|27|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|65|66|67|68|69|70|71|72|73|74|81|85|90|91|92|93|94|95|96|98|99|102|103,canonical_free_terminal,-10,-1,false,0,9,b78180dca790d1d81fde5f473550a4b1bda0e038c9e15b15ba08b471994b2710,493,490,42,0,none,complete_all_source_interface_residues_aligned,human_reference_to_ortholog_per_residue_esmc_l2_mapped_interface_vs_noninterface_enrichment,0.15560690526451385,0.25533574971320505,0.60942075459191536,-0.53982488895582204,0.99998667324928758,1.3393997329238472e-05,2.6787994658476944e-05,uniform_without_replacement_same_mapped_interface_count_among_aligned_residue_pairs,42,1000,1000,0,1,0.000999000999000999,0.001998001998001998,below_one,true,false,false,true,false,false,false,2026-07-20
